Time,TotalPrivateBytes,TimeWorkingSet
15:45:28,2924097536,5310775296
15:45:33,2899488768,5275361280
15:45:38,2907418624,5284007936
15:45:43,2907852800,5285175296
15:45:48,2901991424,5269479424
15:45:53,2901753856,5269553152
15:45:58,2900840448,5271560192
15:46:03,2903826432,5273935872
15:46:08,2900766720,5271699456
15:46:13,2903842816,5278638080
15:46:18,2916921344,5297364992
15:46:23,2908643328,5200506880
15:46:28,2889465856,5175189504
15:46:33,2935087104,5233455104
15:46:38,2954280960,5250985984
15:46:43,2938089472,5232386048
15:46:48,2939723776,5238448128
15:46:53,2968219648,5271531520
15:46:58,2960576512,5254709248
15:47:03,2884947968,5182398464
15:47:08,2881257472,5176745984
15:47:13,2869276672,5166080000
15:47:18,2945327104,5262237696
15:47:23,3176173568,5543100416
15:47:28,3187081216,5554495488
15:47:33,3170590720,5539078144
15:47:38,3210670080,5651615744
15:47:43,3553800192,6279602176
15:47:48,3776253952,6416310272
15:47:53,3916587008,6643822592
15:47:58,3963805696,6740185088
15:48:03,3971538944,6781046784
15:48:08,3941535744,6768427008
15:48:13,4004265984,6872317952
15:48:18,4103069696,6966005760
15:48:23,4105592832,6902525952
15:48:28,4083027968,6908239872
15:48:33,4067917824,6891696128
15:48:38,4107358208,6918422528
15:48:43,4082667520,6897520640
15:48:48,4136050688,6984486912
15:48:53,4305780736,7155232768
15:48:58,4344791040,7216566272
15:49:03,4346298368,7227314176
15:49:08,4357185536,7245189120
15:49:13,4317761536,7174975488
15:49:18,4307673088,7161638912
15:49:23,4319862784,7156740096
15:49:28,4290347008,7127531520
15:49:33,4276563968,7115452416
15:49:38,4251336704,7085285376
15:49:43,4248727552,7080214528
15:49:48,4225495040,7049764864
15:49:53,4304785408,7144644608
15:49:58,4350124032,7200210944
15:50:03,4347416576,7184039936
15:50:08,4284125184,7120343040
15:50:13,4268707840,7104053248
15:50:18,4272627712,7106457600
15:50:23,4269973504,7098732544
15:50:28,4265115648,7084953600
15:50:33,4261638144,7064793088
15:50:38,4258181120,7060459520
15:50:43,4263907328,7084646400
15:50:48,4255219712,7058489344
15:50:53,4255313920,7061291008
15:50:58,4252536832,7058653184
15:51:03,4250636288,7059984384
15:51:08,4246016000,7055007744
15:51:13,4247506944,7056289792
15:51:18,4246122496,7054098432
15:51:23,4246548480,7051632640
15:51:28,4251611136,7056375808
15:51:33,4254793728,7038971904
15:51:38,4242001920,7024275456
15:51:43,4240207872,7011819520
15:51:48,4239310848,7008530432
15:51:53,4238606336,7003299840
15:51:58,4238745600,7003631616
15:52:03,4240928768,7006474240
15:52:08,4237688832,7002365952
15:52:13,4236050432,7001862144
15:52:18,4231774208,6978953216
15:52:23,4239802368,6982561792
15:52:28,4232896512,6972588032
15:52:33,4234493952,6971535360
15:52:38,4231286784,6967095296
15:52:43,4231016448,6861459456
15:52:48,4234915840,6865022976
15:52:53,4231651328,6857007104
15:52:58,4223160320,6848524288
15:53:03,4227477504,6850277376
